,comment,videoId,date,replies,likes,is_english,contains_url,is_spam,polarity,subjectivity,sentiment
12961,"I love this guy. It&#39;s just sad that he have to keep saying how great ukraine is because he knows that americans are so easily offended and they miss the whole point and just target the one negative thing he said.... Please people be better, americans stop be offended all the time and start accepting information",T3FC7qIAGZk,2023-07-23T14:17:49Z,0.0,0.0,True,False,False,0.23333333333333334,0.6404761904761905,1
12962,total 🤡 either that or he&#39;s on a mission to misinform you.,T3FC7qIAGZk,2023-07-23T13:09:54Z,0.0,0.0,True,False,False,0.0,0.75,2
12964,would really love to have a conversation with him about the nsa and snowden thing,T3FC7qIAGZk,2023-07-23T04:02:22Z,0.0,0.0,True,False,False,0.5,0.6,1
12965,"You can all skip this interview, trust me. In the summer of 2022 this guy said that by the fall Russia would have taken Odessa and gone all the way to Moldova. Other pearls of wisdom include the west won&#39;t give all the help needed (now one year later Ukrainian pilots are set to start F16 training next week) and that zelensky would have to go to exile<br>Never let the world turn you into a cynic",T3FC7qIAGZk,2023-07-22T03:25:54Z,0.0,0.0,True,False,False,-0.041666666666666664,0.125,0
12966,"Jezus Epstein didnt frame anybody, they came willingly duh, why else this cover story jeez is everybody dumb",T3FC7qIAGZk,2023-07-21T18:28:14Z,0.0,0.0,True,False,False,-0.3375,0.55,0
12967,Lex looks more like what I envisioned a cia spy to look like tbh lol,T3FC7qIAGZk,2023-07-21T16:06:04Z,0.0,0.0,True,False,False,0.65,0.6,1
12972,Which country did Putin invade when Trump was in office? 🤔,T3FC7qIAGZk,2023-07-20T16:49:00Z,0.0,0.0,True,False,False,0.0,0.0,2
12973,"Hopefully we’ve learned to ignore Bustamante’s Ukraine War predictions, and certainly his timeline.",T3FC7qIAGZk,2023-07-20T12:43:19Z,0.0,0.0,True,False,False,0.21428571428571427,0.5714285714285714,1
12974,"blaah, didn&#39;t listen to anything he had to say. somehow i thave the strong feeling he&#39;s retarded and out for money",T3FC7qIAGZk,2023-07-20T08:52:22Z,0.0,0.0,True,False,False,-0.18333333333333338,0.7666666666666666,0
12975,this podcast... is a gem. thank you,T3FC7qIAGZk,2023-07-20T06:15:44Z,0.0,0.0,True,False,False,0.0,0.0,2
12976,But people that believe in God trusts putin not the western &quot;pupet&quot;,T3FC7qIAGZk,2023-07-20T02:35:01Z,0.0,0.0,True,False,False,0.0,0.0,2
12977,Isn&#39;t this the guy that narced on his underage friend and ruined his life and career over a single beer? Also has the IQ of a snail and has never heard of cash before. And the chances of him actually being a CIA agent are about the same as Biden not having dementia.,T3FC7qIAGZk,2023-07-19T18:36:39Z,0.0,0.0,True,False,False,-0.023809523809523808,0.14642857142857144,0
12978,Can you imagine Trump reading 100 pages per day? Laughable.,T3FC7qIAGZk,2023-07-19T16:02:53Z,0.0,0.0,True,False,False,-0.5,1.0,0
12979,Great interview! Glad to see a year later that his assessments on Ukraine have yet to come to fruition.,T3FC7qIAGZk,2023-07-19T15:02:50Z,0.0,0.0,True,False,False,0.5,0.5833333333333334,1
12980,"Russia has won, liberation of two eastern regions completely, control of Chrimea. Ukraine are puppets for a meat grinder conflict. American and crooked Ukrainian politicians steal billions at the expense of human lives.",T3FC7qIAGZk,2023-07-19T13:18:56Z,0.0,0.0,True,False,False,0.025,0.15,1
12981,"I am Ukrainian, and second night in a row I am observing russia bombing the shit out my hometown Odesa, which the guest said russians wouldn&#39;t touch.<br><br>This interview is naive and he speaks bollocs",T3FC7qIAGZk,2023-07-19T07:08:24Z,0.0,2.0,True,False,False,-0.16666666666666666,0.6,0
12982,Israel wouldn’t exist without United States taxpayer money,T3FC7qIAGZk,2023-07-19T05:34:29Z,0.0,0.0,True,False,False,0.0,0.0,2
12984,"Is he the grandson of William  Alexander Clarke Bustamante, the first prime minister of Jamaica. He had a resemblance to him?",T3FC7qIAGZk,2023-07-18T20:19:54Z,0.0,0.0,True,False,False,0.25,0.3333333333333333,1
12985,Man you guys threw me on a bummer was excited to watch this then was reminded how shady the CIA is why would this guy be an exception. LOL guess I watch strictly for entertainment.,T3FC7qIAGZk,2023-07-18T19:29:20Z,0.0,1.0,True,False,False,0.30833333333333335,0.6916666666666668,1
12986,"first time i listen to this vod,mr bustamente says 85% ish of ukraninan special forces are killd and head of unkranian intelegens major General Kyrylo Budanov is dead...ive tryd to relisten 3 times now and i cant find this words anymore? dont tell me u have so little honor that u clip things after it comes out ur cia spy had the wrong info?ì dont know if 84% of ukranian special forces is dead statement is true or not but seems like the major General Kyrylo Budanov lives inn good health not even inj from the war...",T3FC7qIAGZk,2023-07-18T15:10:51Z,0.0,0.0,True,False,False,0.11264880952380953,0.5438492063492064,1
12987,"I disagree with this guy fundamentally because of what we have already seen, the president needs to have the leeway to pick whoever he wants regardless of their marriage status because as we have seen the deep state operatives who are career administrators etc. etc. cannot be trusted.  The president needs to be able to put in someone who he trusts .",T3FC7qIAGZk,2023-07-18T12:43:11Z,0.0,0.0,True,False,False,0.2333333333333333,0.375,1
12989,Why has the CIA not terminated Trump ? This should make one think.,T3FC7qIAGZk,2023-07-18T04:53:25Z,0.0,1.0,True,False,False,0.0,0.0,2
12990,He never says &quot; the CIA&quot; always just CIA. He&#39;s lying about everything.,T3FC7qIAGZk,2023-07-18T04:40:30Z,0.0,1.0,True,False,False,0.0,0.0,2
12991,“I predict Russia will take the south of Ukraine all the way to Odessa before the fall. Russia is winning this war”. That comment didn’t age well.,T3FC7qIAGZk,2023-07-17T20:39:15Z,0.0,3.0,True,False,False,0.5,0.75,1
12992,"This guy is nailing it. Its so obvious  what is going on, yet the news media will never explain it.",T3FC7qIAGZk,2023-07-17T20:12:21Z,0.0,0.0,True,False,False,0.0,0.5,2
12993,IDK anymore?! Was Andrew wrong in his Russian assessment on this one? At the time I thought he made strong points but it seems more and more like it&#39;s Russia that&#39;s barely hanging on,T3FC7qIAGZk,2023-07-17T15:05:52Z,5.0,1.0,True,False,False,0.1638888888888889,0.45555555555555555,1
12994,"Snowden also tried to run to US allies, but here in Norway the pressure was to great to deny asylum. The truth is that few countries were brave enough to accept him.",T3FC7qIAGZk,2023-07-17T13:50:25Z,0.0,0.0,True,False,False,0.35000000000000003,0.5875,1
12995,&quot;I think it&#39;s actually an incredibly difficult problem of figuring out how to communicate with something way dumber than you.&quot; &lt;- Lex&#39;s most revealing comment ever LOL,T3FC7qIAGZk,2023-07-17T06:33:32Z,0.0,0.0,True,False,False,0.26666666666666666,0.7333333333333334,1
12996,"i dont know if i really trust any of these celebrity &quot;special ops&quot; type ppl. Spys, seals, KGB agents, etc. Its always the same guys doing the media and podcast tours just like any celebrity type dudes, its like how much REAL are you actually getting out of these dudes.",T3FC7qIAGZk,2023-07-17T05:12:29Z,0.0,1.0,True,False,False,0.1,0.18125,1
12998,"“We are a capital country and cannot afford to give things away”…so how about the billions left in Afghanistan? Oh never mind, says he let’s go Brandon",T3FC7qIAGZk,2023-07-16T19:40:43Z,0.0,1.0,True,False,False,0.0,0.0,2
12999,Why do I feel like the CIA deployed this dude to misinform people. You will never know their next move. Seriously think about it that’s why they’re the CIA. If your enemy knows your strategy or next move you lose period!,T3FC7qIAGZk,2023-07-16T17:42:14Z,0.0,0.0,True,False,False,-0.1111111111111111,0.2222222222222222,0
13000,"Wow, this Guy is a full on Dictator Enabling Fool.",T3FC7qIAGZk,2023-07-16T10:56:36Z,0.0,0.0,True,False,False,0.22499999999999998,0.775,1
